
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
        11  20 -3.924717E+04 -2.171541E+05 -1.184045E+04 -6.201261E+04 -5.165706E+06 -5.443117E+07
        11  21  2.451426E+04 -2.451426E+04  6.290546E-06 -8.080511E-07 -9.882767E+06 -9.882767E+06
        11  22  2.808827E+05 -2.012502E+05  5.362630E+05 -5.881756E+04 -1.247751E+07 -7.801975E+07
        11  23  1.470026E+05 -1.470026E+05  1.605426E-05  2.938367E-07 -3.344120E+07 -3.344120E+07
        11  24  2.171541E+05  3.924717E+04  1.184045E+04  6.201261E+04 -5.443117E+07 -5.165706E+06
        11  25  3.287402E+05 -3.287402E+05  2.946072E-05  6.611327E-07 -4.070627E+07 -4.070627E+07
        11  26  2.012502E+05 -2.808827E+05 -5.362630E+05  5.881756E+04 -7.801975E+07 -1.247751E+07
        11  27  4.776795E+05  9.886457E+04 -5.801805E+04  1.208302E+05 -1.153799E+08 -4.545716E+05
        12   1  1.235596E+05 -1.235596E+05  2.363393E-06  1.101888E-06 -1.070183E+07  1.070183E+07
        12   2  2.652684E+05  9.294153E+04  4.238303E+04 -8.367594E+04 -5.799793E+06  5.840902E+07
        12   3  9.863058E+05  1.738765E+06  5.865398E+05 -8.270385E+04 -9.036779E+05  1.230496E+08
        12   4 -9.294153E+04 -2.652684E+05 -4.238303E+04  8.367594E+04 -5.840902E+07  5.799793E+06
        12   5  2.180633E+05 -2.180633E+05  1.794916E-06  4.407551E-07 -3.659839E+07  3.659839E+07
        12   6  9.085092E+05  1.058576E+06  7.775232E+04  9.720965E+02 -1.481404E+07  8.423308E+07
        12   7 -1.738765E+06 -9.863058E+05 -5.865398E+05  8.270385E+04 -1.230496E+08  9.036779E+05
        12   8 -1.058576E+06 -9.085092E+05 -7.775232E+04 -9.720965E+02 -8.423308E+07  1.481404E+07
        12   9 -1.988341E+05  1.988341E+05  6.947893E-07  1.469184E-07 -4.546326E+07  4.546326E+07
        12  10  7.939352E+04 -7.939352E+04  3.503095E-06  6.611327E-07 -1.029230E+07  1.029230E+07
        12  11  1.051404E+05 -5.446210E+04 -4.987644E+04 -2.151883E+04 -5.482750E+06  5.642010E+07
        12  12  4.184797E+05  7.190730E+05  1.102845E+05  8.838955E+02 -6.791247E+05  1.192147E+08
        12  13  5.446210E+04 -1.051404E+05  4.987644E+04  2.151883E+04 -5.642010E+07  5.482750E+06
        12  14  1.680521E+05 -1.680521E+05  2.766198E-06 -1.469184E-07 -3.501979E+07  3.501979E+07
        12  15  3.693468E+05  3.177523E+05 -3.062435E+05  2.240272E+04 -1.364578E+07  8.112641E+07
        12  16 -7.190730E+05 -4.184797E+05 -1.102845E+05 -8.838955E+02 -1.192147E+08  6.791247E+05
        12  17 -3.177523E+05 -3.693468E+05  3.062435E+05 -2.240272E+04 -8.112641E+07  1.364578E+07
        12  18 -2.861449E+04  2.861449E+04  4.716984E-07 -1.689561E-06 -4.308476E+07  4.308476E+07
        12  19 -2.451426E+04  2.451426E+04  3.079878E-06 -2.938367E-07 -9.882767E+06  9.882767E+06
        12  20  3.924717E+04  2.171541E+05  1.184045E+04 -6.201261E+04 -5.165706E+06  5.443117E+07
        12  21  9.886457E+04  4.776795E+05 -5.801805E+04 -1.208302E+05 -4.545716E+05  1.153799E+08
        12  22 -2.171541E+05 -3.924717E+04 -1.184045E+04  6.201261E+04 -5.443117E+07  5.165706E+06
        12  23 -1.470026E+05  1.470026E+05  3.959202E-06 -7.345919E-07 -3.344120E+07  3.344120E+07
        12  24 -2.808827E+05  2.012502E+05 -5.362630E+05 -5.881756E+04 -1.247751E+07  7.801975E+07
        12  25 -4.776795E+05 -9.886457E+04  5.801805E+04  1.208302E+05 -1.153799E+08  4.545716E+05
        12  26 -2.012502E+05  2.808827E+05  5.362630E+05  5.881756E+04 -7.801975E+07  1.247751E+07
        12  27 -3.287402E+05  3.287402E+05 -1.730364E-07 -1.689561E-06 -4.070627E+07  4.070627E+07
        13   1 -5.607810E+05  5.607810E+05 -3.061466E-08  8.080511E-07  3.931247E+07 -3.931247E+07
        13   2  4.039853E+05  1.260066E+06  2.447130E+06  1.120992E+05  7.582950E+07 -1.181317E+07
        13   3 -3.667979E+05  2.310409E+05  8.374059E+05  2.206994E+05  1.123262E+08 -3.321186E+05
        13   4 -1.260066E+06 -4.039853E+05 -2.447130E+06 -1.120992E+05  1.181317E+07 -7.582950E+07
        13   5 -3.022977E+05  3.022977E+05  5.782236E-07 -1.469184E-07  3.241766E+07 -3.241766E+07
        13   6 -3.201559E+05  4.019316E+04  1.634288E+05  1.086002E+05  5.301072E+07 -4.982490E+06
        13   7 -2.310409E+05  3.667979E+05 -8.374059E+05 -2.206994E+05  3.321186E+05 -1.123262E+08
        13   8 -4.019316E+04  3.201559E+05 -1.634288E+05 -1.086002E+05  4.982490E+06 -5.301072E+07
        13   9 -6.504928E+04  6.504928E+04  2.482851E-06  1.395725E-06  9.630283E+06 -9.630283E+06
        13  10 -6.694082E+05  6.694082E+05 -1.477900E-06  1.322265E-06  3.713185E+07 -3.713185E+07
        13  11  3.716386E+04  1.036923E+06  2.270141E+06  1.291587E+05  7.136051E+07 -1.123841E+07
        13  12 -8.670658E+05 -3.279346E+04  6.081752E+05  2.725411E+05  1.055689E+08 -3.499884E+05
        13  13 -1.036923E+06 -3.716386E+04 -2.270141E+06 -1.291587E+05  1.123841E+07 -7.136051E+07
        13  14 -3.019040E+05  3.019040E+05 -1.295866E-06  1.469184E-07  3.055339E+07 -3.055339E+07
        13  15 -4.177634E+05 -3.633767E+04  1.111873E+05  1.433824E+05  4.985693E+07 -4.709699E+06
        13  16  3.279346E+04  8.670658E+05 -6.081752E+05 -2.725411E+05  3.499884E+05 -1.055689E+08
        13  17  3.633767E+04  4.177634E+05 -1.111873E+05 -1.433824E+05  4.709699E+06 -4.985693E+07
        13  18 -5.107434E+04  5.107434E+04  2.211283E-06  1.175347E-06  9.066831E+06 -9.066831E+06
        13  19 -6.462816E+05  6.462816E+05 -4.116260E-06  3.085286E-06  3.495123E+07 -3.495123E+07
        13  20 -1.547717E+05  7.826686E+05  2.136284E+06  1.174635E+05  6.689153E+07 -1.066365E+07
        13  21 -1.149316E+06 -2.270986E+05  4.652086E+05  2.668734E+05  9.881153E+07 -3.678581E+05
        13  22 -7.826686E+05  1.547717E+05 -2.136284E+06 -1.174635E+05  1.066365E+07 -6.689153E+07
        13  23 -2.272659E+05  2.272659E+05 -2.433391E-06 -4.407551E-07  2.868912E+07 -2.868912E+07
        13  24 -3.979945E+05 -8.647135E+04  1.020779E+05  1.494099E+05  4.670315E+07 -4.436908E+06
        13  25  2.270986E+05  1.149316E+06 -4.652086E+05 -2.668734E+05  3.678581E+05 -9.881153E+07
        13  26  8.647135E+04  3.979945E+05 -1.020779E+05 -1.494099E+05  4.436908E+06 -4.670315E+07
        13  27 -2.036447E+04  2.036447E+04  3.272556E-06  7.345919E-07  8.503380E+06 -8.503380E+06
        14   1  3.667979E+05 -2.310409E+05 -8.374059E+05  2.206994E+05  1.123262E+08  3.321186E+05
        14   2 -4.039853E+05 -1.260066E+06 -2.447130E+06  1.120992E+05  7.582950E+07  1.181317E+07
        14   3  5.607810E+05 -5.607810E+05 -2.485526E-05  2.203776E-07  3.931247E+07  3.931247E+07
        14   4  3.201559E+05 -4.019316E+04 -1.634288E+05  1.086002E+05  5.301072E+07  4.982490E+06
        14   5  3.022977E+05 -3.022977E+05 -1.090932E-05 -8.080511E-07  3.241766E+07  3.241766E+07
        14   6  1.260066E+06  4.039853E+05  2.447130E+06 -1.120992E+05  1.181317E+07  7.582950E+07
        14   7  6.504928E+04 -6.504928E+04 -2.203104E-07  4.407551E-07  9.630283E+06  9.630283E+06
        14   8  4.019316E+04 -3.201559E+05  1.634288E+05 -1.086002E+05  4.982490E+06  5.301072E+07
        14   9  2.310409E+05 -3.667979E+05  8.374059E+05 -2.206994E+05  3.321186E+05  1.123262E+08
        14  10  8.670658E+05  3.279346E+04 -6.081752E+05  2.725411E+05  1.055689E+08  3.499884E+05
        14  11 -3.716386E+04 -1.036923E+06 -2.270141E+06  1.291587E+05  7.136051E+07  1.123841E+07
        14  12  6.694082E+05 -6.694082E+05 -2.226833E-05  1.616102E-06  3.713185E+07  3.713185E+07
        14  13  4.177634E+05  3.633767E+04 -1.111873E+05  1.433824E+05  4.985693E+07  4.709699E+06
        14  14  3.019040E+05 -3.019040E+05 -1.120303E-05  7.345919E-07  3.055339E+07  3.055339E+07
        14  15  1.036923E+06  3.716386E+04  2.270141E+06 -1.291587E+05  1.123841E+07  7.136051E+07
        14  16  5.107434E+04 -5.107434E+04 -7.742573E-07  2.056857E-06  9.066831E+06  9.066831E+06
        14  17 -3.633767E+04 -4.177634E+05  1.111873E+05 -1.433824E+05  4.709699E+06  4.985693E+07
        14  18 -3.279346E+04 -8.670658E+05  6.081752E+05 -2.725411E+05  3.499884E+05  1.055689E+08
        14  19  1.149316E+06  2.270986E+05 -4.652086E+05  2.668734E+05  9.881153E+07  3.678581E+05
        14  20  1.547717E+05 -7.826686E+05 -2.136284E+06  1.174635E+05  6.689153E+07  1.066365E+07
        14  21  6.462816E+05 -6.462816E+05 -2.577903E-05  8.815102E-07  3.495123E+07  3.495123E+07
        14  22  3.979945E+05  8.647135E+04 -1.020779E+05  1.494099E+05  4.670315E+07  4.436908E+06
        14  23  2.272659E+05 -2.272659E+05 -1.303922E-05 -2.938367E-07  2.868912E+07  2.868912E+07
        14  24  7.826686E+05 -1.547717E+05  2.136284E+06 -1.174635E+05  1.066365E+07  6.689153E+07
        14  25  2.036447E+04 -2.036447E+04 -1.304438E-06 -1.028429E-06  8.503380E+06  8.503380E+06
        14  26 -8.647135E+04 -3.979945E+05  1.020779E+05 -1.494099E+05  4.436908E+06  4.670315E+07
        14  27 -2.270986E+05 -1.149316E+06  4.652086E+05 -2.668734E+05  3.678581E+05  9.881153E+07
        15   1  2.310409E+05 -3.667979E+05  8.374059E+05 -2.206994E+05 -3.321186E+05 -1.123262E+08
        15   2  4.019316E+04 -3.201559E+05  1.634288E+05 -1.086002E+05 -4.982490E+06 -5.301072E+07
        15   3  6.504928E+04 -6.504928E+04  5.054910E-06 -1.101888E-06 -9.630283E+06 -9.630283E+06
        15   4  1.260066E+06  4.039853E+05  2.447130E+06 -1.120992E+05 -1.181317E+07 -7.582950E+07
        15   5  3.022977E+05 -3.022977E+05  1.617280E-05  7.345919E-08 -3.241766E+07 -3.241766E+07
        15   6  3.201559E+05 -4.019316E+04 -1.634288E+05  1.086002E+05 -5.301072E+07 -4.982490E+06
        15   7  5.607810E+05 -5.607810E+05  2.739432E-05  5.142143E-07 -3.931247E+07 -3.931247E+07
        15   8 -4.039853E+05 -1.260066E+06 -2.447130E+06  1.120992E+05 -7.582950E+07 -1.181317E+07
        15   9  3.667979E+05 -2.310409E+05 -8.374059E+05  2.206994E+05 -1.123262E+08 -3.321186E+05
        15  10 -3.279346E+04 -8.670658E+05  6.081752E+05 -2.725411E+05 -3.499884E+05 -1.055689E+08
        15  11 -3.633767E+04 -4.177634E+05  1.111873E+05 -1.433824E+05 -4.709699E+06 -4.985693E+07
        15  12  5.107434E+04 -5.107434E+04  5.522011E-06  1.469184E-07 -9.066831E+06 -9.066831E+06
        15  13  1.036923E+06  3.716386E+04  2.270141E+06 -1.291587E+05 -1.123841E+07 -7.136051E+07
        15  14  3.019040E+05 -3.019040E+05  1.757568E-05  0.000000E+00 -3.055339E+07 -3.055339E+07
        15  15  4.177634E+05  3.633767E+04 -1.111873E+05  1.433824E+05 -4.985693E+07 -4.709699E+06
        15  16  6.694082E+05 -6.694082E+05  3.116033E-05  8.815102E-07 -3.713185E+07 -3.713185E+07
        15  17 -3.716386E+04 -1.036923E+06 -2.270141E+06  1.291587E+05 -7.136051E+07 -1.123841E+07
        15  18  8.670658E+05  3.279346E+04 -6.081752E+05  2.725411E+05 -1.055689E+08 -3.499884E+05
        15  19 -2.270986E+05 -1.149316E+06  4.652086E+05 -2.668734E+05 -3.678581E+05 -9.881153E+07
        15  20 -8.647135E+04 -3.979945E+05  1.020779E+05 -1.494099E+05 -4.436908E+06 -4.670315E+07
        15  21  2.036447E+04 -2.036447E+04  6.554206E-06  1.469184E-07 -8.503380E+06 -8.503380E+06
        15  22  7.826686E+05 -1.547717E+05  2.136284E+06 -1.174635E+05 -1.066365E+07 -6.689153E+07
        15  23  2.272659E+05 -2.272659E+05  1.869162E-05 -2.938367E-07 -2.868912E+07 -2.868912E+07
        15  24  3.979945E+05  8.647135E+04 -1.020779E+05  1.494099E+05 -4.670315E+07 -4.436908E+06
        15  25  6.462816E+05 -6.462816E+05  3.113070E-05  1.322265E-06 -3.495123E+07 -3.495123E+07
        15  26  1.547717E+05 -7.826686E+05 -2.136284E+06  1.174635E+05 -6.689153E+07 -1.066365E+07
        15  27  1.149316E+06  2.270986E+05 -4.652086E+05  2.668734E+05 -9.881153E+07 -3.678581E+05
        16   1 -6.504928E+04  6.504928E+04  2.194397E-06 -8.815102E-07 -9.630283E+06  9.630283E+06
        16   2 -4.019316E+04  3.201559E+05 -1.634288E+05 -1.086002E+05 -4.982490E+06  5.301072E+07
        16   3 -2.310409E+05  3.667979E+05 -8.374059E+05 -2.206994E+05 -3.321186E+05  1.123262E+08
        16   4 -3.201559E+05  4.019316E+04  1.634288E+05  1.086002E+05 -5.301072E+07  4.982490E+06
        16   5 -3.022977E+05  3.022977E+05  5.135114E-06 -1.469184E-07 -3.241766E+07  3.241766E+07
        16   6 -1.260066E+06 -4.039853E+05 -2.447130E+06 -1.120992E+05 -1.181317E+07  7.582950E+07
        16   7 -3.667979E+05  2.310409E+05  8.374059E+05  2.206994E+05 -1.123262E+08  3.321186E+05
        16   8  4.039853E+05  1.260066E+06  2.447130E+06  1.120992E+05 -7.582950E+07  1.181317E+07
        16   9 -5.607810E+05  5.607810E+05  7.304492E-06 -2.277235E-06 -3.931247E+07  3.931247E+07
        16  10 -5.107434E+04  5.107434E+04  2.700806E-06  7.345919E-07 -9.066831E+06  9.066831E+06
        16  11  3.633767E+04  4.177634E+05 -1.111873E+05 -1.433824E+05 -4.709699E+06  4.985693E+07
        16  12  3.279346E+04  8.670658E+05 -6.081752E+05 -2.725411E+05 -3.499884E+05  1.055689E+08
        16  13 -4.177634E+05 -3.633767E+04  1.111873E+05  1.433824E+05 -4.985693E+07  4.709699E+06
        16  14 -3.019040E+05  3.019040E+05  6.014220E-06  5.876735E-07 -3.055339E+07  3.055339E+07
        16  15 -1.036923E+06 -3.716386E+04 -2.270141E+06 -1.291587E+05 -1.123841E+07  7.136051E+07
        16  16 -8.670658E+05 -3.279346E+04  6.081752E+05  2.725411E+05 -1.055689E+08  3.499884E+05
        16  17  3.716386E+04  1.036923E+06  2.270141E+06  1.291587E+05 -7.136051E+07  1.123841E+07
        16  18 -6.694082E+05  6.694082E+05  1.004270E-05 -1.616102E-06 -3.713185E+07  3.713185E+07
        16  19 -2.036447E+04  2.036447E+04  1.923147E-06  0.000000E+00 -8.503380E+06  8.503380E+06
        16  20  8.647135E+04  3.979945E+05 -1.020779E+05 -1.494099E+05 -4.436908E+06  4.670315E+07
        16  21  2.270986E+05  1.149316E+06 -4.652086E+05 -2.668734E+05 -3.678581E+05  9.881153E+07
        16  22 -3.979945E+05 -8.647135E+04  1.020779E+05  1.494099E+05 -4.670315E+07  4.436908E+06
        16  23 -2.272659E+05  2.272659E+05  6.722088E-06 -7.345919E-07 -2.868912E+07  2.868912E+07
        16  24 -7.826686E+05  1.547717E+05 -2.136284E+06 -1.174635E+05 -1.066365E+07  6.689153E+07
        16  25 -1.149316E+06 -2.270986E+05  4.652086E+05  2.668734E+05 -9.881153E+07  3.678581E+05
        16  26 -1.547717E+05  7.826686E+05  2.136284E+06  1.174635E+05 -6.689153E+07  1.066365E+07
        16  27 -6.462816E+05  6.462816E+05  9.451724E-06 -1.175347E-06 -3.495123E+07  3.495123E+07
        17   1 -6.283468E+05  6.283468E+05 -2.859516E-06  3.819878E-06  3.347484E+07 -3.347484E+07
        17   2 -6.983230E+04  8.320421E+05  2.376520E+06  1.114303E+05  6.397273E+07 -1.027215E+07
        17   3 -1.144755E+06 -2.160424E+05  5.600291E+05  2.590474E+05  9.447423E+07 -3.788912E+05
        17   4 -8.320421E+05  6.983230E+04 -2.376520E+06 -1.114303E+05  1.027215E+07 -6.397273E+07
        17   5 -2.011539E+05  2.011539E+05 -2.727660E-06 -2.938367E-07  2.745428E+07 -2.745428E+07
        17   6 -3.657785E+05 -8.137985E+04  1.386662E+05  1.476171E+05  4.463845E+07 -4.250971E+06
        17   7  2.160424E+05  1.144755E+06 -5.600291E+05 -2.590474E+05  3.788912E+05 -9.447423E+07
        17   8  8.137985E+04  3.657785E+05 -1.386662E+05 -1.476171E+05  4.250971E+06 -4.463845E+07
        17   9 -1.087100E+04  1.087100E+04  3.315052E-06  1.469184E-07  8.123508E+06 -8.123508E+06
        17  10 -6.778520E+05  6.778520E+05 -1.681957E-06  7.345919E-07  3.062287E+07 -3.062287E+07
        17  11 -9.923129E+04  8.803471E+05  2.382192E+06  1.216002E+05  5.856004E+07 -9.386213E+06
        17  12 -1.171170E+06 -2.088899E+05  5.542503E+05  2.762371E+05  8.650082E+07 -3.417526E+05
        17  13 -8.803471E+05  9.923129E+04 -2.382192E+06 -1.216002E+05  9.386213E+06 -5.856004E+07
        17  14 -2.356531E+05  2.356531E+05 -1.806377E-06 -1.469184E-07  2.512536E+07 -2.512536E+07
        17  15 -4.035944E+05 -8.173251E+04  1.272156E+05  1.546369E+05  4.086653E+07 -3.888578E+06
        17  16  2.088899E+05  1.171170E+06 -5.542503E+05 -2.762371E+05  3.417526E+05 -8.650082E+07
        17  17  8.173251E+04  4.035944E+05 -1.272156E+05 -1.546369E+05  3.888578E+06 -4.086653E+07
        17  18 -2.013550E+04  2.013550E+04  2.576989E-06  1.469184E-07  7.435861E+06 -7.435861E+06
        17  19 -7.319498E+05  7.319498E+05 -2.691712E-07  1.469184E-07  2.777091E+07 -2.777091E+07
        17  20 -1.347263E+05  9.297365E+05  2.386360E+06  1.327725E+05  5.314735E+07 -8.500278E+06
        17  21 -1.205185E+06 -2.041610E+05  5.454646E+05  2.954314E+05  7.852741E+07 -3.046141E+05
        17  22 -9.297365E+05  1.347263E+05 -2.386360E+06 -1.327725E+05  8.500278E+06 -5.314735E+07
        17  23 -2.727403E+05  2.727403E+05  4.609884E-07 -1.175347E-06  2.279643E+07 -2.279643E+07
        17  24 -4.455017E+05 -8.300529E+04  1.142616E+05  1.626589E+05  3.709462E+07 -3.526185E+06
        17  25  2.041610E+05  1.205185E+06 -5.454646E+05 -2.954314E+05  3.046141E+05 -7.852741E+07
        17  26  8.300529E+04  4.455017E+05 -1.142616E+05 -1.626589E+05  3.526185E+06 -3.709462E+07
        17  27 -2.998334E+04  2.998334E+04  2.235818E-06 -1.028429E-06  6.748214E+06 -6.748214E+06
        18   1  1.144755E+06  2.160424E+05 -5.600291E+05  2.590474E+05  9.447423E+07  3.788912E+05
        18   2  6.983230E+04 -8.320421E+05 -2.376520E+06  1.114303E+05  6.397273E+07  1.027215E+07
        18   3  6.283468E+05 -6.283468E+05 -2.624727E-05  1.763020E-06  3.347484E+07  3.347484E+07
        18   4  3.657785E+05  8.137985E+04 -1.386662E+05  1.476171E+05  4.463845E+07  4.250971E+06
        18   5  2.011539E+05 -2.011539E+05 -1.349613E-05 -5.876735E-07  2.745428E+07  2.745428E+07
        18   6  8.320421E+05 -6.983230E+04  2.376520E+06 -1.114303E+05  1.027215E+07  6.397273E+07
        18   7  1.087100E+04 -1.087100E+04 -7.281912E-07 -1.763020E-06  8.123508E+06  8.123508E+06
        18   8 -8.137985E+04 -3.657785E+05  1.386662E+05 -1.476171E+05  4.250971E+06  4.463845E+07
        18   9 -2.160424E+05 -1.144755E+06  5.600291E+05 -2.590474E+05  3.788912E+05  9.447423E+07
        18  10  1.171170E+06  2.088899E+05 -5.542503E+05  2.762371E+05  8.650082E+07  3.417526E+05
        18  11  9.923129E+04 -8.803471E+05 -2.382192E+06  1.216002E+05  5.856004E+07  9.386213E+06
        18  12  6.778520E+05 -6.778520E+05 -1.886938E-05 -2.938367E-07  3.062287E+07  3.062287E+07
        18  13  4.035944E+05  8.173251E+04 -1.272156E+05  1.546369E+05  4.086653E+07  3.888578E+06
        18  14  2.356531E+05 -2.356531E+05 -1.164122E-05  0.000000E+00  2.512536E+07  2.512536E+07
        18  15  8.803471E+05 -9.923129E+04  2.382192E+06 -1.216002E+05  9.386213E+06  5.856004E+07
        18  16  2.013550E+04 -2.013550E+04 -2.223633E-06  1.909939E-06  7.435861E+06  7.435861E+06
        18  17 -8.173251E+04 -4.035944E+05  1.272156E+05 -1.546369E+05  3.888578E+06  4.086653E+07
        18  18 -2.088899E+05 -1.171170E+06  5.542503E+05 -2.762371E+05  3.417526E+05  8.650082E+07
        18  19  1.205185E+06  2.041610E+05 -5.454646E+05  2.954314E+05  7.852741E+07  3.046141E+05
        18  20  1.347263E+05 -9.297365E+05 -2.386360E+06  1.327725E+05  5.314735E+07  8.500278E+06
        18  21  7.319498E+05 -7.319498E+05 -1.902232E-05 -1.469184E-06  2.777091E+07  2.777091E+07
        18  22  4.455017E+05  8.300529E+04 -1.142616E+05  1.626589E+05  3.709462E+07  3.526185E+06
        18  23  2.727403E+05 -2.727403E+05 -1.100903E-05 -1.028429E-06  2.279643E+07  2.279643E+07
        18  24  9.297365E+05 -1.347263E+05  2.386360E+06 -1.327725E+05  8.500278E+06  5.314735E+07
        18  25  2.998334E+04 -2.998334E+04 -2.405156E-06  1.028429E-06  6.748214E+06  6.748214E+06
        18  26 -8.300529E+04 -4.455017E+05  1.142616E+05 -1.626589E+05  3.526185E+06  3.709462E+07
        18  27 -2.041610E+05 -1.205185E+06  5.454646E+05 -2.954314E+05  3.046141E+05  7.852741E+07
        19   1 -2.160424E+05 -1.144755E+06  5.600291E+05 -2.590474E+05 -3.788912E+05 -9.447423E+07
        19   2 -8.137985E+04 -3.657785E+05  1.386662E+05 -1.476171E+05 -4.250971E+06 -4.463845E+07
        19   3  1.087100E+04 -1.087100E+04  6.271333E-06  4.407551E-07 -8.123508E+06 -8.123508E+06
        19   4  8.320421E+05 -6.983230E+04  2.376520E+06 -1.114303E+05 -1.027215E+07 -6.397273E+07
        19   5  2.011539E+05 -2.011539E+05  1.876081E-05  1.469184E-07 -2.745428E+07 -2.745428E+07
        19   6  3.657785E+05  8.137985E+04 -1.386662E+05  1.476171E+05 -4.463845E+07 -4.250971E+06
        19   7  6.283468E+05 -6.283468E+05  3.084724E-05  5.876735E-07 -3.347484E+07 -3.347484E+07
        19   8  6.983230E+04 -8.320421E+05 -2.376520E+06  1.114303E+05 -6.397273E+07 -1.027215E+07
        19   9  1.144755E+06  2.160424E+05 -5.600291E+05  2.590474E+05 -9.447423E+07 -3.788912E+05
        19  10 -2.088899E+05 -1.171170E+06  5.542503E+05 -2.762371E+05 -3.417526E+05 -8.650082E+07
        19  11 -8.173251E+04 -4.035944E+05  1.272156E+05 -1.546369E+05 -3.888578E+06 -4.086653E+07
        19  12  2.013550E+04 -2.013550E+04  6.315177E-06  7.345919E-07 -7.435861E+06 -7.435861E+06
        19  13  8.803471E+05 -9.923129E+04  2.382192E+06 -1.216002E+05 -9.386213E+06 -5.856004E+07
        19  14  2.356531E+05 -2.356531E+05  1.708629E-05  2.938367E-07 -2.512536E+07 -2.512536E+07
        19  15  4.035944E+05  8.173251E+04 -1.272156E+05  1.546369E+05 -4.086653E+07 -3.888578E+06
        19  16  6.778520E+05 -6.778520E+05  2.901867E-05 -2.938367E-07 -3.062287E+07 -3.062287E+07
        19  17  9.923129E+04 -8.803471E+05 -2.382192E+06  1.216002E+05 -5.856004E+07 -9.386213E+06
        19  18  1.171170E+06  2.088899E+05 -5.542503E+05  2.762371E+05 -8.650082E+07 -3.417526E+05
        19  19 -2.041610E+05 -1.205185E+06  5.454646E+05 -2.954314E+05 -3.046141E+05 -7.852741E+07
        19  20 -8.300529E+04 -4.455017E+05  1.142616E+05 -1.626589E+05 -3.526185E+06 -3.709462E+07
        19  21  2.998334E+04 -2.998334E+04  6.820561E-06  4.407551E-07 -6.748214E+06 -6.748214E+06
        19  22  9.297365E+05 -1.347263E+05  2.386360E+06 -1.327725E+05 -8.500278E+06 -5.314735E+07
        19  23  2.727403E+05 -2.727403E+05  1.438104E-05  1.322265E-06 -2.279643E+07 -2.279643E+07
        19  24  4.455017E+05  8.300529E+04 -1.142616E+05  1.626589E+05 -3.709462E+07 -3.526185E+06
        19  25  7.319498E+05 -7.319498E+05  2.489007E-05  2.938367E-07 -2.777091E+07 -2.777091E+07
        19  26  1.347263E+05 -9.297365E+05 -2.386360E+06  1.327725E+05 -5.314735E+07 -8.500278E+06
        19  27  1.205185E+06  2.041610E+05 -5.454646E+05  2.954314E+05 -7.852741E+07 -3.046141E+05
        20   1 -1.087100E+04  1.087100E+04  2.022912E-06 -1.175347E-06 -8.123508E+06  8.123508E+06
        20   2  8.137985E+04  3.657785E+05 -1.386662E+05 -1.476171E+05 -4.250971E+06  4.463845E+07
        20   3  2.160424E+05  1.144755E+06 -5.600291E+05 -2.590474E+05 -3.788912E+05  9.447423E+07
        20   4 -3.657785E+05 -8.137985E+04  1.386662E+05  1.476171E+05 -4.463845E+07  4.250971E+06
        20   5 -2.011539E+05  2.011539E+05  6.863703E-06 -7.345919E-07 -2.745428E+07  2.745428E+07
        20   6 -8.320421E+05  6.983230E+04 -2.376520E+06 -1.114303E+05 -1.027215E+07  6.397273E+07
        20   7 -1.144755E+06 -2.160424E+05  5.600291E+05  2.590474E+05 -9.447423E+07  3.788912E+05
        20   8 -6.983230E+04  8.320421E+05  2.376520E+06  1.114303E+05 -6.397273E+07  1.027215E+07
        20   9 -6.283468E+05  6.283468E+05  7.835175E-06 -2.056857E-06 -3.347484E+07  3.347484E+07
        20  10 -2.013550E+04  2.013550E+04  1.329623E-06  2.056857E-06 -7.435861E+06  7.435861E+06
        20  11  8.173251E+04  4.035944E+05 -1.272156E+05 -1.546369E+05 -3.888578E+06  4.086653E+07
        20  12  2.088899E+05  1.171170E+06 -5.542503E+05 -2.762371E+05 -3.417526E+05  8.650082E+07
        20  13 -4.035944E+05 -8.173251E+04  1.272156E+05  1.546369E+05 -4.086653E+07  3.888578E+06
        20  14 -2.356531E+05  2.356531E+05  4.972817E-06  2.938367E-07 -2.512536E+07  2.512536E+07
        20  15 -8.803471E+05  9.923129E+04 -2.382192E+06 -1.216002E+05 -9.386213E+06  5.856004E+07
        20  16 -1.171170E+06 -2.088899E+05  5.542503E+05  2.762371E+05 -8.650082E+07  3.417526E+05
        20  17 -9.923129E+04  8.803471E+05  2.382192E+06  1.216002E+05 -5.856004E+07  9.386213E+06
        20  18 -6.778520E+05  6.778520E+05  8.477209E-06  2.938367E-07 -3.062287E+07  3.062287E+07
        20  19 -2.998334E+04  2.998334E+04  2.305984E-06  2.350694E-06 -6.748214E+06  6.748214E+06
        20  20  8.300529E+04  4.455017E+05 -1.142616E+05 -1.626589E+05 -3.526185E+06  3.709462E+07
        20  21  2.041610E+05  1.205185E+06 -5.454646E+05 -2.954314E+05 -3.046141E+05  7.852741E+07
        20  22 -4.455017E+05 -8.300529E+04  1.142616E+05  1.626589E+05 -3.709462E+07  3.526185E+06
        20  23 -2.727403E+05  2.727403E+05  4.537000E-06 -7.345919E-07 -2.279643E+07  2.279643E+07
        20  24 -9.297365E+05  1.347263E+05 -2.386360E+06 -1.327725E+05 -8.500278E+06  5.314735E+07
        20  25 -1.205185E+06 -2.041610E+05  5.454646E+05  2.954314E+05 -7.852741E+07  3.046141E+05
