
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
       147 -3.030890E+02  2.690097E+03 -2.185765E+02
       148 -3.767108E+02  3.284911E+03  6.906910E+01
       149 -4.511943E+02  3.910849E+03  3.858290E+02
       150 -4.479081E+02  3.909595E+03  7.206235E+01
       151 -4.444269E+02  3.910077E+03 -2.417035E+02
       152 -5.216249E+02  4.556001E+03  7.424471E+01
       153 -5.986928E+02  5.218501E+03  4.061625E+02
       154 -5.971288E+02  5.217878E+03  7.578718E+01
       155 -5.954694E+02  5.218135E+03 -2.545870E+02
       156 -6.737819E+02  5.889388E+03  7.672415E+01
       157 -7.514785E+02  6.566371E+03  4.143734E+02
       158 -7.510612E+02  6.566170E+03  7.723468E+01
       159 -7.506153E+02  6.566276E+03 -2.599044E+02
       160 -8.285695E+02  7.244450E+03  7.741025E+01
       161 -4.580490E+00  6.908879E+01 -9.194187E+01
       162 -9.307803E+00  2.131713E+02 -1.800390E+02
       163 -2.197133E+01  2.171839E+02 -1.917549E+02
       164 -3.492707E+01  2.161479E+02 -2.014146E+02
       165 -4.968654E+01  4.591192E+02 -2.768281E+02
       166 -7.636794E+01  7.770706E+02 -3.338083E+02
       167 -8.690847E+01  7.812791E+02 -3.537340E+02
       168 -9.809392E+01  7.795492E+02 -3.738518E+02
       169 -1.323131E+02  1.175833E+03 -4.208357E+02
       170 -1.770332E+02  1.630143E+03 -4.523579E+02
       171 -1.849099E+02  1.633054E+03 -4.796043E+02
       172 -1.932352E+02  1.631998E+03 -5.068308E+02
       173 -2.436535E+02  2.144146E+03 -5.291815E+02
       174 -3.021352E+02  2.698452E+03 -5.383141E+02
       175 -3.075691E+02  2.700514E+03 -5.707716E+02
       176 -3.133306E+02  2.699733E+03 -6.032416E+02
       177 -3.756871E+02  3.293862E+03 -6.039224E+02
       178 -4.438546E+02  3.915153E+03 -5.942137E+02
       179 -4.471306E+02  3.916393E+03 -6.300946E+02
       180 -4.506053E+02  3.915927E+03 -6.659831E+02
       181 -5.210586E+02  4.560953E+03 -6.491765E+02
       182 -5.952038E+02  5.220539E+03 -6.248845E+02
       183 -5.967558E+02  5.221140E+03 -6.626635E+02
       184 -5.984083E+02  5.220907E+03 -7.004528E+02
       185 -6.735546E+02  5.891375E+03 -6.708562E+02
       186 -7.505558E+02  6.566911E+03 -6.367609E+02
       187 -7.509566E+02  6.567085E+03 -6.753201E+02
       188 -7.513924E+02  6.567010E+03 -7.138763E+02
       189 -8.285297E+02  7.244798E+03 -6.768552E+02
       190 -7.901513E+00  4.005062E+01 -1.051516E+01
       191 -3.756315E+01  1.948541E+02 -1.152644E+02
       192 -2.483878E+01  1.921116E+02 -2.193054E+01
       193 -1.153701E+01  1.919241E+02  7.163848E+01
       194 -5.250832E+01  4.344463E+02 -3.166014E+01
       195 -9.984918E+01  7.639671E+02 -2.155314E+02
       196 -8.935295E+01  7.599052E+02 -4.045568E+01
       197 -7.817756E+01  7.614824E+02  1.345981E+02
       198 -1.344771E+02  1.156912E+03 -4.812993E+01
       199 -1.946551E+02  1.619692E+03 -2.929986E+02
       200 -1.867684E+02  1.616804E+03 -5.485115E+01
       201 -1.784278E+02  1.617839E+03  1.832985E+02
       202 -2.452206E+02  2.130443E+03 -6.052117E+01
       203 -3.142880E+02  2.691377E+03 -3.491334E+02
       204 -3.088510E+02  2.689305E+03 -6.527773E+01
       205 -3.030890E+02  2.690097E+03  2.185765E+02
       206 -3.767108E+02  3.284911E+03 -6.906910E+01
       207 -4.511943E+02  3.910849E+03 -3.858290E+02
       208 -4.479081E+02  3.909595E+03 -7.206235E+01
       209 -4.444269E+02  3.910077E+03  2.417035E+02
